IdImc;IdMes;Lio;Mio;Sio;SD4nio;SD3nio;SD2nio;SD1nio;SD0io;SD1io;SD2io;SD3io;SD4io;Lia;Mia;Sia;SD4nia;SD3nia;SD2nia;SD1nia;SD0ia;SD1ia;SD2ia;SD3ia;SD4ia;Lpo;Mpo;Spo;Sdpo;SD3npo;SD2npo;SD1npo;SD0po;SD1po;SD2po;SD3po;Lpa;Mpa;Spa;Sdpa;SD3npa;SD2npa;SD1npa;SD0pa;SD1pa;SD2pa;SD3pa
92;91;-1.3776;15.6237;0.09327;11.428;12.331;13.234;14.311;15.624;17.264;19.383;22.247;25.112;-1.3395;15.5476;0.11065;10.82;11.814;12.808;14.023;15.548;17.526;20.214;24.119;28.023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;92;-1.3953;15.6455;0.09366;11.44;12.343;13.247;14.327;15.646;17.297;19.44;22.351;25.262;-1.3499;15.5723;0.1111;10.83;11.826;12.822;14.041;15.572;17.564;20.281;24.246;28.212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;93;-1.4126;15.6677;0.09406;11.451;12.356;13.26;14.343;15.668;17.331;19.497;22.457;25.416;-1.36;15.5979;0.11156;10.84;11.838;12.836;14.059;15.598;17.604;20.349;24.377;28.406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;94;-1.4297;15.6903;0.09445;11.463;12.368;13.274;14.36;15.69;17.366;19.555;22.563;25.571;-1.3697;15.6246;0.11201;10.851;11.851;12.852;14.078;15.625;17.645;20.418;24.51;28.601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;95;-1.4464;15.7133;0.09486;11.474;12.381;13.288;14.377;15.713;17.401;19.615;22.673;25.732;-1.379;15.6523;0.11246;10.862;11.865;12.868;14.099;15.652;17.687;20.489;24.644;28.799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;96;-1.4629;15.7368;0.09526;11.486;12.394;13.302;14.394;15.737;17.437;19.675;22.785;25.895;-1.388;15.681;0.11291;10.874;11.879;12.884;14.12;15.681;17.73;20.561;24.781;29.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;97;-1.479;15.7606;0.09567;11.498;12.407;13.317;14.412;15.761;17.473;19.736;22.899;26.061;-1.3966;15.7107;0.11335;10.887;11.895;12.902;14.142;15.711;17.774;20.634;24.918;29.203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;98;-1.4947;15.7848;0.09609;11.51;12.42;13.331;14.429;15.785;17.51;19.798;23.015;26.232;-1.4047;15.7415;0.1138;10.9;11.91;12.92;14.164;15.742;17.82;20.709;25.059;29.409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;99;-1.5101;15.8094;0.09651;11.521;12.434;13.346;14.447;15.809;17.548;19.862;23.134;26.406;-1.4125;15.7732;0.11424;10.914;11.927;12.94;14.188;15.773;17.866;20.784;25.2;29.617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;100;-1.5252;15.8344;0.09693;11.534;12.447;13.361;14.466;15.834;17.586;19.926;23.254;26.582;-1.4199;15.8058;0.11469;10.928;11.944;12.959;14.212;15.806;17.914;20.862;25.345;29.829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;101;-1.5399;15.8597;0.09735;11.546;12.461;13.376;14.484;15.86;17.624;19.99;23.376;26.761;-1.427;15.8394;0.11513;10.943;11.962;12.98;14.238;15.839;17.962;20.94;25.491;30.042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;102;-1.5542;15.8855;0.09778;11.558;12.475;13.392;14.503;15.886;17.663;20.056;23.5;26.945;-1.4336;15.8738;0.11557;10.958;11.98;13.001;14.264;15.874;18.012;21.019;25.638;30.256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;103;-1.5681;15.9116;0.09821;11.57;12.489;13.408;14.523;15.912;17.702;20.123;23.627;27.131;-1.4398;15.909;0.11601;10.974;11.998;13.023;14.291;15.909;18.062;21.1;25.786;30.472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;104;-1.5817;15.9381;0.09864;11.583;12.503;13.424;14.542;15.938;17.742;20.19;23.755;27.32;-1.4456;15.9451;0.11644;10.99;12.018;13.045;14.318;15.945;18.113;21.181;25.934;30.688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;105;-1.5948;15.9651;0.09907;11.595;12.518;13.44;14.562;15.965;17.783;20.258;23.885;27.511;-1.4511;15.9818;0.11688;11.006;12.037;13.068;14.346;15.982;18.166;21.263;26.085;30.908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;106;-1.6076;15.9925;0.09951;11.608;12.532;13.456;14.582;15.992;17.824;20.327;24.018;27.708;-1.4561;16.0194;0.11731;11.023;12.057;13.092;14.375;16.019;18.219;21.346;26.236;31.127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;107;-1.6199;16.0205;0.09994;11.621;12.547;13.473;14.603;16.02;17.866;20.397;24.151;27.905;-1.4607;16.0575;0.11774;11.04;12.078;13.115;14.404;16.058;18.272;21.429;26.388;31.346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;108;-1.6318;16.049;0.10038;11.634;12.562;13.491;14.624;16.049;17.908;20.468;24.288;28.107;-1.465;16.0964;0.11816;11.057;12.099;13.14;14.434;16.096;18.326;21.513;26.539;31.565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;109;-1.6433;16.0781;0.10082;11.647;12.578;13.508;14.646;16.078;17.952;20.54;24.426;28.312;-1.4688;16.1358;0.11859;11.075;12.12;13.165;14.465;16.136;18.381;21.599;26.692;31.786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;110;-1.6544;16.1078;0.10126;11.661;12.594;13.526;14.668;16.108;17.996;20.613;24.567;28.52;-1.4723;16.1759;0.11901;11.092;12.141;13.19;14.496;16.176;18.437;21.684;26.845;32.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;111;-1.6651;16.1381;0.1017;11.675;12.61;13.545;14.691;16.138;18.04;20.687;24.709;28.731;-1.4753;16.2166;0.11943;11.11;12.163;13.216;14.527;16.217;18.493;21.77;26.998;32.227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
