Id;Semana;Dias;Meses;Año;Lpo;Mpo;Spo;S3npo;S2npo;S1npo;S0po;S1po;S2po;S3po;Lto;Mto;Sto;S3nto;S2nto;S1nto;S0to;S1to;S2to;S3to;Lpa;Mpa;Spa;S3npa;S2npa;S1npa;S0pa;S1pa;S2pa;S3pa;Lta;Mta;Sta;S3nta;S2nta;S1nta;S0ta;S1ta;S2ta;S3ta
37;-1;700;23;1.917;-0.008;11.951;0.114;8.5;9.5;10.7;12;13.4;15;16.8;1;86.94;0.034;78;81;83.9;86.9;89.9;92.9;95.9;-0.29;11.269;0.124;7.9;8.9;10;11.3;12.8;14.6;16.7;1;85.52;0.037;76;79.2;82.3;85.5;88.7;91.9;95
38;-1;731;24;1.989;-0.014;12.152;0.114;8.6;9.7;10.8;12.2;13.6;15.3;17.1;1;87.82;0.035;78;81;84.1;87.1;90.2;93.2;96.3;-0.294;11.478;0.124;8.1;9;10.2;11.5;13;14.8;17;1;86.42;0.037;76;79.3;82.5;85.7;88.9;92.2;95.4
39;-1;761;25;2.083;-0.019;12.35;0.115;8.8;9.8;11;12.4;13.9;15.5;17.5;1;87.97;0.035;78.6;81.7;84.9;88;91.1;94.2;97.3;-0.298;11.686;0.124;8.2;9.2;10.3;11.7;13.3;15.1;17.3;1;86.59;0.038;76.8;80;83.3;86.6;89.9;93.1;96.4
40;-1;791;26;2.167;-0.024;12.547;0.115;8.9;10;11.2;12.5;14.1;15.8;17.8;1;88.81;0.036;79.3;82.5;85.6;88.8;92;95.2;98.3;-0.301;11.895;0.124;8.4;9.4;10.5;11.9;13.5;15.4;17.7;1;87.45;0.038;77.5;80.8;84.1;87.4;90.8;94.1;97.4
41;-1;822;27;2.25;-0.029;12.74;0.116;9;10.1;11.3;12.7;14.3;16.1;18.1;1;89.62;0.036;79.9;83.1;86.4;89.6;92.9;96.1;99.3;-0.303;12.102;0.125;8.5;9.5;10.7;12.1;13.7;15.7;18;1;88.28;0.038;78.1;81.5;84.9;88.3;91.7;95;98.4
42;-1;852;28;2.333;-0.034;12.93;0.117;9.1;10.2;11.5;12.9;14.5;16.3;18.4;1;90.41;0.036;80.5;83.8;87.1;90.4;93.7;97;100.3;-0.306;12.306;0.125;8.6;9.7;10.9;12.3;14;16;18.3;1;89.1;0.039;78.8;82.2;85.7;89.1;92.5;96;99.4
43;-1;883;29;2.417;-0.039;13.117;0.117;9.2;10.4;11.7;13.1;14.8;16.6;18.7;1;91.18;0.037;81.1;84.5;87.8;91.2;94.5;97.9;101.2;-0.308;12.507;0.125;8.8;9.8;11.1;12.5;14.2;16.2;18.7;1;89.9;0.039;79.5;82.9;86.4;89.9;93.4;96.9;100.3
44;-1;913;30;2.5;-0.043;13.3;0.118;9.4;10.5;11.8;13.3;15;16.9;19;1;91.93;0.037;81.7;85.1;88.5;91.9;95.3;98.7;102.1;-0.31;12.706;0.126;8.9;10;11.2;12.7;14.4;16.5;19;1;90.68;0.039;80.1;83.6;87.1;90.7;94.2;97.7;101.3
45;-1;944;31;2.583;-0.048;13.48;0.118;9.5;10.7;12;13.5;15.2;17.1;19.3;1;92.66;0.037;82.3;85.7;89.2;92.7;96.1;99.6;103;-0.312;12.901;0.126;9;10.1;11.4;12.9;14.7;16.8;19.3;1;91.44;0.039;80.7;84.3;87.9;91.4;95;98.6;102.2
46;-1;974;32;2.667;-0.052;13.657;0.119;9.6;10.8;12.1;13.7;15.4;17.4;19.6;1;93.38;0.038;82.8;86.4;89.9;93.4;96.9;100.4;103.9;-0.314;13.093;0.127;9.1;10.3;11.6;13.1;14.9;17.1;19.6;1;92.19;0.039;81.3;84.9;88.6;92.2;95.8;99.4;103.1
47;-1;1004;33;2.75;-0.056;13.831;0.12;9.7;10.9;12.3;13.8;15.6;17.6;19.9;1;94.07;0.038;83.4;86.9;90.5;94.1;97.6;101.2;104.8;-0.316;13.284;0.127;9.3;10.4;11.7;13.3;15.1;17.3;20;1;92.92;0.04;81.9;85.6;89.3;92.9;96.6;100.3;103.9
48;-1;1035;34;2.833;-0.061;14.003;0.12;9.8;11;12.4;14;15.8;17.8;20.2;1;94.75;0.038;83.9;87.5;91.1;94.8;98.4;102;105.6;-0.317;13.473;0.128;9.4;10.5;11.9;13.5;15.4;17.6;20.3;1;93.64;0.04;82.5;86.2;89.9;93.6;97.4;101.1;104.8
49;-1;1065;35;2.917;-0.065;14.174;0.121;9.9;11.2;12.6;14.2;16;18.1;20.4;1;95.42;0.038;84.4;88.1;91.8;95.4;99.1;102.7;106.4;-0.319;13.662;0.129;9.5;10.7;12;13.7;15.6;17.9;20.6;1;94.35;0.04;83.1;86.8;90.6;94.4;98.1;101.9;105.6
50;-1;1096;36;3;-0.069;14.343;0.121;10;11.3;12.7;14.3;16.2;18.3;20.7;1;96.08;0.039;85;88.7;92.4;96.1;99.8;103.5;107.2;-0.32;13.85;0.129;9.6;10.8;12.2;13.9;15.8;18.1;20.9;1;95.05;0.04;83.6;87.4;91.2;95.1;98.9;102.7;106.5
51;-1;1126;37;3.083;-0.073;14.511;0.122;10.1;11.4;12.9;14.5;16.4;18.6;21;1;96.73;0.039;85.5;89.2;93;96.7;100.5;104.2;108;-0.322;14.039;0.13;9.7;10.9;12.4;14;16;18.4;21.3;1;95.74;0.04;84.2;88;91.9;95.7;99.6;103.4;107.3
52;-1;1157;38;3.167;-0.077;14.679;0.122;10.2;11.5;13;14.7;16.6;18.8;21.3;1;97.37;0.039;86;89.8;93.6;97.4;101.2;105;108.8;-0.323;14.227;0.131;9.8;11.1;12.5;14.2;16.3;18.7;21.6;1;96.42;0.04;84.7;88.6;92.5;96.4;100.3;104.2;108.1
53;-1;1187;39;3.25;-0.081;14.847;0.123;10.3;11.6;13.1;14.8;16.8;19;21.6;1;98.01;0.039;86.5;90.3;94.2;98;101.8;105.7;109.5;-0.324;14.414;0.131;9.9;11.2;12.7;14.4;16.5;19;22;1;97.09;0.041;85.3;89.2;93.1;97.1;101;105;108.9
54;-1;1218;40;3.333;-0.085;15.014;0.123;10.4;11.8;13.3;15;17;19.3;21.9;1;98.63;0.039;87;90.9;94.7;98.6;102.5;106.4;110.3;-0.326;14.601;0.132;10.1;11.3;12.8;14.6;16.7;19.2;22.3;1;97.75;0.041;85.8;89.8;93.8;97.7;101.7;105.7;109.7
55;-1;1248;41;3.417;-0.088;15.181;0.124;10.5;11.9;13.4;15.2;17.2;19.5;22.1;1;99.25;0.04;87.5;91.4;95.3;99.2;103.2;107.1;111;-0.327;14.787;0.133;10.2;11.5;13;14.8;16.9;19.5;22.7;1;98.4;0.041;86.3;90.4;94.4;98.4;102.4;106.4;110.5
56;-1;1278;42;3.5;-0.092;15.349;0.124;10.6;12;13.6;15.3;17.4;19.7;22.4;1;99.85;0.04;88;91.9;95.9;99.9;103.8;107.8;111.7;-0.328;14.973;0.134;10.3;11.6;13.1;15;17.2;19.8;23;1;99.04;0.041;86.8;90.9;95;99;103.1;107.2;111.2
57;-1;1309;43;3.583;-0.096;15.516;0.125;10.7;12.1;13.7;15.5;17.6;20;22.7;1;100.45;0.04;88.4;92.4;96.4;100.4;104.5;108.5;112.5;-0.33;15.157;0.135;10.4;11.7;13.3;15.2;17.4;20.1;23.4;1;99.68;0.041;87.4;91.5;95.6;99.7;103.8;107.9;112
58;-1;1339;44;3.667;-0.099;15.683;0.125;10.8;12.2;13.8;15.7;17.8;20.2;23;1;101.04;0.04;88.9;93;97;101;105.1;109.1;113.2;-0.331;15.341;0.135;10.5;11.8;13.4;15.3;17.6;20.4;23.7;1;100.31;0.041;87.9;92;96.2;100.3;104.5;108.6;112.7
59;-1;1370;45;3.75;-0.103;15.85;0.126;10.9;12.4;14;15.8;18;20.5;23.3;1;101.62;0.04;89.4;93.5;97.5;101.6;105.7;109.8;113.9;-0.332;15.524;0.136;10.6;12;13.6;15.5;17.8;20.7;24.1;1;100.92;0.042;88.4;92.5;96.7;100.9;105.1;109.3;113.5
60;-1;1400;46;3.833;-0.106;16.016;0.126;11;12.5;14.1;16;18.2;20.7;23.6;1;102.19;0.04;89.8;94;98.1;102.2;106.3;110.4;114.6;-0.334;15.706;0.137;10.7;12.1;13.7;15.7;18.1;20.9;24.5;1;101.53;0.042;88.9;93.1;97.3;101.5;105.8;110;114.2
61;-1;1431;47;3.917;-0.11;16.183;0.127;11.1;12.6;14.3;16.2;18.4;20.9;23.9;1;102.76;0.04;90.3;94.4;98.6;102.8;106.9;111.1;115.2;-0.335;15.888;0.138;10.8;12.2;13.9;15.9;18.3;21.2;24.8;1;102.14;0.042;89.3;93.6;97.9;102.1;106.4;110.7;114.9
62;-1;1461;48;4;-0.113;16.349;0.128;11.2;12.7;14.4;16.3;18.6;21.2;24.2;1;103.33;0.041;90.7;94.9;99.1;103.3;107.5;111.7;115.9;-0.336;16.07;0.139;10.9;12.3;14;16.1;18.5;21.5;25.2;1;102.73;0.042;89.8;94.1;98.4;102.7;107;111.3;115.7
63;-1;1491;49;4.083;-0.117;16.515;0.128;11.3;12.8;14.5;16.5;18.8;21.4;24.5;1;103.89;0.041;91.2;95.4;99.7;103.9;108.1;112.4;116.6;-0.337;16.251;0.14;11;12.4;14.2;16.3;18.8;21.8;25.5;1;103.32;0.042;90.3;94.6;99;103.3;107.7;112;116.4
64;-1;1522;50;4.167;-0.12;16.681;0.129;11.4;12.9;14.7;16.7;19;21.7;24.8;1;104.45;0.041;91.6;95.9;100.2;104.4;108.7;113;117.3;-0.339;16.432;0.141;11.1;12.6;14.3;16.4;19;22.1;25.9;1;103.9;0.042;90.7;95.1;99.5;103.9;108.3;112.7;117.1
65;-1;1552;51;4.25;-0.123;16.847;0.129;11.5;13.1;14.8;16.8;19.2;21.9;25.1;1;105;0.041;92.1;96.4;100.7;105;109.3;113.6;117.9;-0.34;16.613;0.141;11.2;12.7;14.5;16.6;19.2;22.4;26.3;1;104.48;0.042;91.2;95.6;100.1;104.5;108.9;113.3;117.7
66;-1;1583;52;4.333;-0.126;17.013;0.13;11.6;13.2;15;17;19.4;22.2;25.4;1;105.56;0.041;92.5;96.9;101.2;105.6;109.9;114.2;118.6;-0.341;16.794;0.142;11.3;12.8;14.6;16.8;19.4;22.6;26.6;1;105.05;0.042;91.7;96.1;100.6;105;109.5;114;118.4
67;-1;1613;53;4.417;-0.129;17.179;0.131;11.7;13.3;15.1;17.2;19.6;22.4;25.7;1;106.11;0.041;93;97.4;101.7;106.1;110.5;114.9;119.2;-0.343;16.975;0.143;11.4;12.9;14.8;17;19.7;22.9;27;1;105.61;0.043;92.1;96.6;101.1;105.6;110.1;114.6;119.1
68;-1;1644;54;4.5;-0.133;17.345;0.131;11.8;13.4;15.2;17.3;19.8;22.7;26;1;106.67;0.041;93.4;97.8;102.3;106.7;111.1;115.5;119.9;-0.344;17.155;0.144;11.5;13;14.9;17.2;19.9;23.2;27.4;1;106.17;0.043;92.6;97.1;101.6;106.2;110.7;115.2;119.8
69;-1;1674;55;4.583;-0.136;17.511;0.132;11.9;13.5;15.4;17.5;20;22.9;26.3;1;107.22;0.042;93.9;98.3;102.8;107.2;111.7;116.1;120.6;-0.345;17.335;0.144;11.6;13.2;15.1;17.3;20.1;23.5;27.7;1;106.73;0.043;93;97.6;102.2;106.7;111.3;115.9;120.4
70;-1;1705;56;4.667;-0.139;17.677;0.133;12;13.6;15.5;17.7;20.2;23.2;26.6;1;107.77;0.042;94.3;98.8;103.3;107.8;112.3;116.7;121.2;-0.347;17.514;0.145;11.7;13.3;15.2;17.5;20.3;23.8;28.1;1;107.28;0.043;93.4;98.1;102.7;107.3;111.9;116.5;121.1
71;-1;1735;57;4.75;-0.142;17.842;0.133;12.1;13.7;15.6;17.8;20.4;23.4;26.9;1;108.32;0.042;94.7;99.3;103.8;108.3;112.8;117.4;121.9;-0.348;17.692;0.146;11.8;13.4;15.3;17.7;20.6;24.1;28.5;1;107.82;0.043;93.9;98.5;103.2;107.8;112.5;117.1;121.8
72;-1;1765;58;4.833;-0.145;18.007;0.134;12.2;13.8;15.8;18;20.6;23.7;27.2;1;108.87;0.042;95.2;99.7;104.3;108.9;113.4;118;122.6;-0.349;17.869;0.147;11.9;13.5;15.5;17.9;20.8;24.4;28.8;1;108.36;0.043;94.3;99;103.7;108.4;113;117.7;122.4
73;-1;1796;59;4.917;-0.148;18.172;0.135;12.3;14;15.9;18.2;20.8;23.9;27.6;1;109.42;0.042;95.6;100.2;104.8;109.4;114;118.6;123.2;-0.351;18.045;0.147;12;13.6;15.6;18;21;24.6;29.2;1;108.89;0.043;94.7;99.5;104.2;108.9;113.6;118.3;123.1
74;-1;1826;60;5;-0.151;18.337;0.135;12.4;14.1;16;18.3;21;24.2;27.9;1;109.96;0.042;96.1;100.7;105.3;110;114.6;119.2;123.9;-0.352;18.219;0.148;12.1;13.7;15.8;18.2;21.2;24.9;29.5;1;109.42;0.043;95.2;99.9;104.7;109.4;114.2;118.9;123.7
75;-1;0;61;5.083;-0.203;18.506;0.13;12.718;14.367;16.279;18.506;21.109;24.165;27.77;1;110.26;0.042;96.49;101.082;105.673;110.265;114.856;119.448;124.039;-0.468;18.258;0.143;12.352;13.961;15.899;18.258;21.169;24.817;29.468;1;109.6;0.044;95.282;100.055;104.828;109.602;114.375;119.148;123.921
76;-1;0;62;5.167;-0.213;18.68;0.13;12.833;14.496;16.428;18.68;21.319;24.423;28.093;1;110.8;0.042;96.933;101.555;106.178;110.801;115.423;120.046;124.668;-0.471;18.433;0.144;12.456;14.083;16.143;18.433;21.386;25.09;29.823;1;110.13;0.044;95.708;100.514;105.32;110.126;114.932;119.738;124.543
77;-1;0;63;5.25;-0.223;18.856;0.131;12.95;14.627;16.578;18.856;21.53;24.683;28.42;1;111.33;0.042;97.373;102.026;106.68;111.334;115.988;120.641;125.295;-0.474;18.607;0.144;12.559;14.204;16.187;18.607;21.601;25.363;30.178;1;110.65;0.044;96.13;100.968;105.807;110.645;115.484;120.322;125.161
78;-1;0;64;5.333;-0.234;19.034;0.131;13.067;14.759;16.729;19.034;21.744;24.946;28.75;1;111.86;0.042;97.812;102.496;107.18;111.864;116.547;121.231;125.915;-0.477;18.781;0.145;12.662;14.324;16.33;18.781;21.817;25.637;30.535;1;111.16;0.044;96.547;101.418;106.289;111.16;116.031;120.902;125.773
79;-1;0;65;5.417;-0.244;19.213;0.131;13.186;14.482;16.882;19.213;21.959;25.21;29.083;1;112.39;0.042;98.245;102.92;107.675;112.39;117.104;121.819;126.534;-0.48;18.955;0.145;12.764;14.444;16.473;18.954;22.032;25.911;30.893;1;111.67;0.044;96.963;101.865;106.767;111.67;116.572;121.474;126.376
80;-1;0;66;5.5;-0.255;19.394;0.132;13.307;15.027;17.036;19.394;22.176;25.477;29.42;1;112.91;0.042;98.674;103.42;108.165;112.911;117.657;122.402;127.148;-0.483;19.128;0.146;12.866;14.564;16.616;19.128;22.247;26.185;31.253;1;112.18;0.044;97.372;102.306;107.241;112.175;117.11;122.044;126.979
81;-1;0;67;5.583;-0.265;19.577;0.132;13.429;15.164;17.192;19.576;22.395;25.747;29.76;1;113.43;0.042;99.099;103.875;108.652;113.428;118.204;122.981;127.757;-0.486;19.3;0.146;12.968;14.683;16.758;19.3;22.462;26.46;31.614;1;112.68;0.044;97.78;102.745;107.711;112.677;117.642;122.608;127.574
82;-1;0;68;5.667;-0.276;19.761;0.132;13.553;15.302;17.35;19.761;22.615;26.018;30.102;1;113.94;0.042;99.523;104.329;109.135;113.941;118.747;123.553;128.359;-0.489;19.473;0.147;13.069;14.801;16.899;19.473;22.677;26.735;31.977;1;113.17;0.044;98.184;103.181;108.177;113.174;118.171;123.167;128.164
83;-1;0;69;5.75;-0.286;19.947;0.133;13.679;15.442;17.509;19.947;22.839;26.293;30.449;1;114.45;0.042;99.94;104.777;109.613;114.45;119.287;124.123;128.96;-0.492;19.646;0.147;13.169;14.919;17.041;19.646;22.893;27.011;32.342;1;113.67;0.044;98.585;103.612;108.64;113.667;118.695;123.722;128.75
84;-1;0;70;5.833;-0.297;20.134;0.133;13.805;15.583;17.67;20.134;23.063;26.569;30.799;1;114.95;0.042;100.353;105.22;110.088;114.955;114.822;124.689;129.556;-0.495;19.818;0.148;13.27;15.038;17.182;19.818;23.108;27.288;32.708;1;114.16;0.044;98.982;104.04;109.098;114.156;119.215;124.273;129.331
85;-1;0;71;5.917;-0.308;20.324;0.133;13.934;15.726;17.832;20.324;23.29;26.848;31.153;1;115.45;0.042;100.766;105.662;110.558;115.455;120.351;125.248;130.144;-0.498;19.991;0.148;13.371;15.156;17.323;19.991;23.324;27.566;33.077;1;114.64;0.044;99.375;104.464;109.553;114.642;119.731;124.82;129.909
86;-1;0;72;6;-0.318;20.514;0.133;14.063;15.87;17.996;20.514;23.517;27.129;31.508;1;115.95;0.042;101.171;106.097;111.024;115.951;120.878;125.878;130.731;-0.5013;20.164;0.149;13.471;15.274;17.465;20.164;23.541;27.845;33.448;1;115.12;0.044;99.766;104.885;110.005;115.124;120.244;125.364;130.483
87;-1;0;73;6.083;-0.3285;20.7052;0.13402;14.193;16.015;18.16;20.705;23.747;27.412;31.868;1;116.4432;0.04257;101.572;106.529;111.486;116.443;121.4;126.357;131.314;-0.5043;20.3377;0.14955;13.572;15.393;17.607;20.338;23.759;28.126;33.822;1;115.6039;0.04454;100.157;105.306;110.455;115.604;120.753;125.902;131.051
88;-1;0;74;6.167;-0.339;20.8979;0.13432;14.324;16.16;18.326;20.898;23.978;27.697;32.231;1;116.9325;0.04264;101.974;106.96;111.946;116.932;121.919;126.905;131.891;-0.5072;20.5124;0.1501;13.673;15.512;17.75;20.512;23.978;28.409;34.2;1;116.0812;0.04461;100.546;105.724;110.903;116.081;121.26;126.438;131.616
89;-1;0;75;6.25;-0.3494;21.0918;0.13462;14.456;16.307;18.492;21.092;24.21;27.984;32.598;1;117.4196;0.04272;102.371;107.387;112.403;117.42;122.436;127.452;132.468;-0.51;20.6885;0.15065;13.775;15.632;17.893;20.688;24.199;28.695;34.581;1;116.5568;0.04469;100.93;106.139;111.348;116.557;121.766;126.975;132.184
90;-1;0;76;6.333;-0.3598;21.287;0.13493;14.588;16.454;18.659;21.287;24.445;28.275;32.969;1;117.9046;0.0428;102.766;107.812;112.858;117.905;122.951;127.997;133.044;-0.5129;20.8661;0.1512;13.878;15.753;18.038;20.866;24.423;28.983;34.968;1;117.0311;0.04475;101.32;106.557;111.794;117.031;122.268;127.505;132.743
91;-1;0;77;6.417;-0.3701;21.4833;0.13523;14.721;16.602;18.828;21.483;24.68;28.567;33.343;1;118.388;0.04287;103.162;108.237;113.313;118.388;123.463;128.539;133.614;-0.5157;21.0457;0.15175;13.982;15.875;18.185;21.046;24.648;29.276;35.36;1;117.5044;0.04482;101.705;106.971;112.238;117.504;122.771;128.037;133.304
92;-1;0;78;6.5;-0.3804;21.681;0.13554;14.855;16.751;18.997;21.681;24.918;28.862;33.723;1;118.87;0.04295;103.554;108.659;113.765;118.87;123.975;129.081;134.186;-0.5185;21.2274;0.1523;14.087;15.998;18.333;21.227;24.877;29.572;35.757;1;117.9769;0.04489;102.089;107.385;112.681;117.977;123.273;128.569;133.865
93;-1;0;79;6.583;-0.3906;21.8799;0.13586;14.99;16.9;19.167;21.88;25.158;29.161;34.107;1;119.3508;0.04303;103.944;109.079;114.215;119.351;124.486;129.622;134.758;-0.5213;21.4113;0.15284;14.193;16.124;18.483;21.411;25.108;29.871;36.158;1;118.4489;0.04495;102.476;107.8;113.125;118.449;123.773;129.097;134.422
94;-1;0;80;6.667;-0.4007;22.08;0.13618;15.125;17.05;19.338;22.08;25.399;29.461;34.495;1;119.8303;0.04311;104.333;109.499;114.664;119.83;124.996;130.162;135.328;-0.524;21.5979;0.15339;14.301;16.25;18.635;21.598;25.343;30.176;36.568;1;118.9208;0.04502;102.859;108.213;113.567;118.921;124.275;129.628;134.982
95;-1;0;81;6.75;-0.4107;22.2813;0.13652;15.259;17.201;19.51;22.281;25.642;29.765;34.889;1;120.3085;0.04318;104.724;109.919;115.114;120.308;125.503;130.698;135.893;-0.5268;21.7872;0.15393;14.411;16.379;18.79;21.787;25.581;30.485;36.983;1;119.3926;0.04508;103.246;108.628;114.01;119.393;124.775;130.157;135.539
96;-1;0;82;6.833;-0.4207;22.4837;0.13686;15.395;17.352;19.682;22.484;25.887;30.072;35.287;1;120.7853;0.04326;105.11;110.335;115.56;120.785;126.01;131.236;136.461;-0.5294;21.9795;0.15448;14.522;16.51;18.947;21.98;25.823;30.799;37.406;1;119.8648;0.04514;103.633;109.043;114.454;119.865;125.275;130.686;136.097
97;-1;0;83;6.917;-0.4305;22.6872;0.13722;15.531;17.503;19.855;22.687;26.134;30.382;35.692;1;121.2604;0.04334;105.494;110.75;116.005;121.26;126.516;131.771;137.027;-0.5321;22.1751;0.15502;14.635;16.643;19.106;22.175;26.069;31.118;37.836;1;120.3374;0.0452;104.02;109.459;114.898;120.337;125.777;131.216;136.655
98;-1;0;84;7;-0.4402;22.8915;0.13759;15.666;17.655;20.029;22.892;26.382;30.695;36.1;1;121.7338;0.04342;105.877;111.162;116.448;121.734;127.019;132.305;137.591;-0.5347;22.374;0.15556;14.75;16.779;19.268;22.374;26.32;31.443;38.274;1;120.8105;0.04525;104.41;109.877;115.344;120.81;126.277;131.744;137.211
99;-1;0;85;7.083;-0.4499;23.0968;0.13797;15.802;17.807;20.203;23.097;26.632;31.011;36.515;1;122.2053;0.0435;106.258;111.573;116.889;122.205;127.521;132.837;138.153;-0.5372;22.5762;0.1561;14.867;16.916;19.433;22.576;26.574;31.773;38.719;1;121.2843;0.04531;104.798;110.294;115.789;121.284;126.78;132.275;137.77
100;-1;0;86;7.167;-0.4594;23.3029;0.13838;15.937;17.958;20.377;23.303;26.885;31.33;36.936;1;122.675;0.04358;106.636;111.983;117.329;122.675;128.021;133.367;138.714;-0.5398;22.7816;0.15663;14.987;17.056;19.601;22.782;26.832;32.109;39.171;1;121.7587;0.04536;105.19;110.713;116.236;121.759;127.282;132.805;138.328
101;-1;0;87;7.25;-0.4688;23.5101;0.1388;16.072;18.11;20.552;23.51;27.138;31.653;37.363;1;123.1429;0.04366;107.014;112.39;117.766;123.143;128.519;133.896;139.272;-0.5423;22.9904;0.15717;15.108;17.199;19.772;22.99;27.095;32.45;39.632;1;122.2338;0.04542;105.578;111.13;116.682;122.234;127.786;133.338;138.889
102;-1;0;88;7.333;-0.4781;23.7182;0.13923;16.207;18.262;20.727;23.718;27.394;31.979;37.795;1;123.6092;0.04374;107.389;112.796;118.203;123.609;129.016;134.423;139.829;-0.5447;23.2025;0.1577;15.231;17.343;19.945;23.202;27.362;32.796;40.099;1;122.7098;0.04547;105.971;111.551;117.13;122.71;128.289;133.869;139.449
