Id;Semana;Dias;Meses;Año;Lpo;Mpo;Spo;S3npo;S2npo;S1npo;S0po;S1po;S2po;S3po;Lto;Mto;Sto;S3nto;S2nto;S1nto;S0to;S1to;S2to;S3to;Lpa;Mpa;Spa;S3npa;S2npa;S1npa;S0pa;S1pa;S2pa;S3pa;Lta;Mta;Sta;S3nta;S2nta;S1nta;S0ta;S1ta;S2ta;S3ta
119;-1;0;105;8.75;-0.6152;27.4137;0.14984;18.433;20.822;23.753;27.414;32.08;38.179;46.397;1;131.2495;0.04511;113.488;119.408;125.329;131.25;137.17;143.091;149.011;-0.5789;27.3635;0.16626;17.655;20.188;23.347;27.364;32.591;39.589;49.293;1;130.9891;0.04607;112.885;118.92;124.954;130.989;137.024;143.058;149.093
120;-1;0;106;8.833;-0.6216;27.6432;0.15066;18.561;20.972;23.936;27.643;32.381;38.591;46.992;1;131.6884;0.04519;113.835;119.786;125.737;131.688;137.639;143.59;149.541;-0.5804;27.6406;0.16673;17.817;20.378;23.574;27.641;32.939;40.041;49.906;1;131.4895;0.04608;113.312;119.371;125.43;131.49;137.549;143.608;149.667
121;-1;0;107;8.917;-0.6278;27.875;0.15149;18.689;21.123;24.119;27.875;32.685;39.009;47.598;1;132.1269;0.04527;114.183;120.164;126.146;132.127;138.108;144.09;150.071;-0.5819;27.9208;0.16719;17.98;20.57;23.803;27.921;33.29;40.497;50.525;1;131.9912;0.0461;113.737;119.822;125.906;131.991;138.076;144.161;150.246
122;-1;0;108;9;-0.6337;28.1092;0.15233;18.817;21.275;24.305;28.109;32.993;39.433;48.214;1;132.5652;0.04535;114.53;120.542;126.553;132.565;138.577;144.589;150.601;-0.5833;28.204;0.16764;18.146;20.764;24.035;28.204;33.645;40.958;51.149;1;132.4944;0.04612;114.162;120.273;126.384;132.494;138.605;144.716;150.826
123;-1;0;109;9.083;-0.6393;28.3459;0.15319;18.945;21.428;24.492;28.346;33.305;39.864;48.843;1;133.0031;0.04543;114.876;120.918;126.961;133.003;139.045;145.088;151.13;-0.5847;28.4901;0.16809;18.313;20.96;24.27;28.49;34.004;41.424;51.781;1;132.9989;0.04613;114.593;120.728;126.864;132.999;139.134;145.269;151.405
124;-1;0;110;9.167;-0.6446;28.5854;0.15406;19.075;21.582;24.681;28.585;33.621;40.301;49.483;1;133.4404;0.04551;115.222;121.295;127.368;133.44;139.513;145.586;151.659;-0.5859;28.7791;0.16854;18.482;21.158;24.506;28.779;34.367;41.895;52.419;1;133.5046;0.04614;115.025;121.185;127.345;133.505;139.665;145.824;151.984
125;-1;0;111;9.25;-0.6496;28.8277;0.15493;19.205;21.737;24.871;28.828;33.941;40.744;50.132;1;133.877;0.04559;115.567;121.67;127.774;133.877;139.98;146.084;152.187;-0.5872;29.0711;0.16897;18.653;21.359;24.745;29.071;34.733;42.37;53.063;1;134.0118;0.04615;115.458;121.643;127.827;134.012;140.196;146.381;152.566
126;-1;0;112;9.333;-0.6543;29.0731;0.15581;19.336;21.894;25.064;29.073;34.266;41.195;50.792;1;134.313;0.04566;115.915;122.048;128.18;134.313;140.446;146.578;152.711;-0.5883;29.3663;0.16941;18.825;21.561;24.987;29.366;35.104;42.851;53.714;1;134.5202;0.04616;115.892;122.101;128.311;134.52;140.73;146.939;153.149
127;-1;0;113;9.417;-0.6585;29.3217;0.1567;19.468;22.052;25.259;29.322;34.595;41.652;51.463;1;134.7483;0.04574;116.258;122.422;128.585;134.748;140.912;147.075;153.238;-0.5895;29.6646;0.16983;19;21.766;25.232;29.665;35.478;43.335;54.371;1;135.0299;0.04616;116.331;122.564;128.797;135.03;141.263;147.496;153.729
128;-1;0;114;9.5;-0.6624;29.5736;0.1576;19.601;22.212;25.457;29.574;34.929;42.116;52.146;1;135.1829;0.04582;116.601;122.795;128.989;135.183;141.377;147.571;153.765;-0.5905;29.9663;0.17025;19.176;21.973;25.479;29.966;35.856;43.826;55.035;1;135.541;0.04617;116.767;123.025;129.283;135.541;141.799;148.057;154.315
129;-1;0;115;9.583;-0.6659;29.8289;0.1585;19.735;22.373;25.656;29.829;35.268;42.587;52.838;1;135.6168;0.04589;116.946;123.17;129.393;135.617;141.84;148.064;154.287;-0.5915;30.2715;0.17066;19.355;22.183;25.729;30.272;36.238;44.321;55.705;1;136.0533;0.04617;117.209;123.49;129.772;136.053;142.335;148.616;154.898
130;-1;0;116;9.667;-0.6689;30.0877;0.1594;19.87;22.537;25.859;30.088;35.612;43.063;53.538;1;136.0501;0.04597;117.287;123.542;129.796;136.05;142.304;148.559;154.813;-0.5925;30.5805;0.17107;19.536;22.395;25.982;30.58;36.625;44.823;56.385;1;136.567;0.04616;117.655;123.959;130.263;136.567;142.871;149.175;155.479
131;-1;0;117;9.75;-0.6714;30.3501;0.16031;20.006;22.701;26.064;30.35;35.96;43.547;54.248;1;136.4829;0.04604;117.632;123.916;130.199;136.483;142.767;149.05;155.334;-0.5934;30.8934;0.17146;19.72;22.61;26.239;30.893;37.017;45.329;57.069;1;137.0821;0.04616;118.099;124.427;130.754;137.082;143.41;149.738;156.065
132;-1;0;118;9.833;-0.6735;30.616;0.16122;20.143;22.868;26.271;30.616;36.313;44.038;54.968;1;136.9153;0.04612;117.972;124.286;130.601;136.915;143.23;149.544;155.859;-0.5942;31.2105;0.17186;19.906;22.828;26.499;31.21;37.414;45.843;57.764;1;137.5987;0.04616;118.544;124.896;131.247;137.599;143.95;150.302;156.653
133;-1;0;119;9.917;-0.6752;30.8854;0.16213;20.281;23.036;26.481;30.885;36.671;44.534;55.695;1;137.3474;0.04619;118.315;124.659;131.003;137.347;143.691;150.036;156.38;-0.595;31.5319;0.17224;20.095;23.049;26.763;31.532;37.815;46.363;58.465;1;138.1167;0.04615;118.994;125.369;131.743;138.117;144.491;150.865;157.239
134;-1;0;120;10;-0.6764;31.1586;0.16305;20.42;23.206;26.694;31.159;37.035;45.038;56.434;1;137.7795;0.04626;118.658;125.032;131.406;137.78;144.153;150.527;156.901;-0.5958;31.8578;0.17262;20.286;23.274;27.031;31.858;38.223;46.89;59.177;1;138.6363;0.04614;119.446;125.843;132.24;138.636;145.033;151.43;157.826
